Framework Topic,Status,Term,Patterns,,,,Term Type,Source,Topic,
Benefits/Services,Finalized (SET) pattern development,life insurance,"[' provid(e|ing)', ' (giv(e|ing)|gave )', ' offer', ' inclu(d|sive)', ' add(ed|ing|s)? '],['life insurance'],[5,15]",-,-,-,practice,ESRS S3 on Equal Opportunities - European Financial Reporting Advisory Group,other benefits,
Benefits/Services,Finalized (SET) pattern development,disability coverage,"[' provid(e|ing)', ' (giv(e|ing)|gave )', ' offer', ' inclu(d|sive)', ' add(ed|ing|s)? '],['insurance', 'coverage'],[' disab', 'invalidity'],[7,5,7,15]",-,-,-,practice,ESRS S3 on Equal Opportunities - European Financial Reporting Advisory Group,healthcare benefits,
Benefits/Services,Finalized (SET) pattern development,retirement provision,"[' provid(e|ing)', ' (giv(e|ing)|gave )', ' offer', ' inclu(d|sive)', ' add(ed|ing|s)? '],['provision'],[' retir(e|ing)'],[7,5,7,15]",-,-,-,practice,ESRS S3 on Equal Opportunities - European Financial Reporting Advisory Group,other benefits,
Benefits/Services,Finalized (SET) pattern development,stock ownership,"[' stock(s)? ', ' share(s)? '],[' own', ' grant', ' provid(e|ing)', ' (giv(e|ing)|gave )', ' offer', ' inclu(d|sive)', ' add(ed|ing|s)? '],['employ', 'work(er|force|( )?place)', 'contractor'],[6,8,10,15]",-,-,-,practice,ESRS S3 on Equal Opportunities - European Financial Reporting Advisory Group,other benefits,
Benefits/Services,Finalized (SET) pattern development,equal benefits,"['equal', 'equivalent', ' same', 'identical'],[' leave', 'treatment', 'benefits', 'coverage'],[5,15]",-,-,-,practice,ILPA Due Dilligence Questionanaire (DDQ) 2.0  - Institutional Limited Partners Association (ILPA),other benefits,
Benefits/Services,Finalized (SET) pattern development,family leave,"[' provid(e|ing)', ' (giv(e|ing)|gave )', ' offer', ' inclu(d|sive)', ' add(ed|ing|s)? '],[' leave'],[' famil', ' parent'],[7,7,7,15]",-,-,-,practice,AIMA & Albourne Diversity and Inclusion Questionnaire - AIMA,family benefits,
Benefits/Services,Finalized (SET) pattern development,leave-number of weeks paid/unpaid,"[' leave'],['un(-)?paid', 'paid'],['weeks of', 'entire', 'portion', ' half', 'months of', ' none ', ' all ', ' some ', ' percent'],[7,7,10,15]",-,-,-,practice,AIMA & Albourne Diversity and Inclusion Questionnaire - AIMA,other benefits,
Benefits/Services,Finalized (SET) pattern development,leave-percent of salary covered,"['paid leave'],[ 'cover(age|ed|s)'],['weeks of', 'entire', 'portion', ' half', 'months of', ' none ', ' all ', ' some ', ' percent'],[7,7,10,15]",-,-,-,practice,AIMA & Albourne Diversity and Inclusion Questionnaire - AIMA,other benefits,
Benefits/Services,Finalized (SET) pattern development,leave-impact on bonus/carry/vesting,"[' impact', '(a|e)ffect', ' los(e(s)?|ing|t) ', 'forfeit', 'relinquish', 'remove', 'confiscat'],[' leave'],['bonus', 'carry', 'vesting'],[10,10,10,15]",-,-,-,practice,AIMA & Albourne Diversity and Inclusion Questionnaire - AIMA,other benefits,
Benefits/Services,Finalized (SET) pattern development,progams/initiatives/policy-return to the workplace,"['program', 'initiative', 'campaign', 'polic(ies|y)', 'procedure'],['return to'],['work', 'office', ' job', 'full-time'],[7,7,7,15]",-,-,-,practice,AIMA & Albourne Diversity and Inclusion Questionnaire - AIMA,accommodations,
Benefits/Services,Finalized (SET) pattern development,track composition-benefits,"[' track', 'document', 'record', ' log(ged|s)? ', '(collect|compil|gather)(e|ed|es|ing|s) (data|info)'],[' leave', 'benefits', 'coverage'],['(employee|work(er|force)|contractor)(.*)(compos(e|ition)|demographic)', '(compos(e|ition)|demographic)(.*)(employee|work(er|force)|contractor)'],[10,7,10,15]",-,-,-,practice,Diversity and Inclusion Ratings - Diversity and Inclusion Ratings,other benefits,
Benefits/Services,Finalized (SET) pattern development,report composition-benefits,"[' report', 'disclos', 'publish', 'describ', 'detail', 'reveal', 'ma(de|k(e|ing)) public'],[' leave', 'benefits', 'coverage'],['(employee|work(er|force)|contractor)(.*)(compos(e|ition)|demographic)', '(compos(e|ition)|demographic)(.*)(employee|work(er|force)|contractor)'],[10,7,10,15]",-,-,-,practice,Diversity and Inclusion Ratings - Diversity and Inclusion Ratings,other benefits,
Benefits/Services,Finalized (SET) pattern development,programs/initiatives/policy-work-life balance,"['program', 'initiative', 'campaign', 'polic(ies|y)', 'procedure'],['work( |-)?life balance'],[7,15]",-,-,-,practice,ESRS S3 on Equal Opportunities - European Financial Reporting Advisory Group,accommodations,
Benefits/Services,Finalized (SET) pattern development,incentivise equal sharing of caring responsibilities,"['incentiv', 'promot(e(d|s)?|ing|ion(s)?) ', 'support', 'encourag', 'motivat', 'inspire', 'boost', ' spur', 'reinforc', 'strengthen', 'bolster'],['equal(.*)shar|burden|partak', 'shar|burden|partak(.*)equal'],[' caring', 'caregiv'],[7,7,7,15]",-,-,-,practice,ESRS S3 on Equal Opportunities - European Financial Reporting Advisory Group,family benefits,
